Larval_ID,Set,Full_Mass,Before_Thorax,After_Thorax,Muscle_Mass,Muscle_per_full_mass,Notes,Consdier excluding?
T330,2,0.3427,0.0617,0.0093,0.0524,0.152903414,Only one DI rinse before removing,
T332,3,0.4341,0.0678,0.0097,0.0581,0.133840129,Cuticle missing,
T336,4,0.2523,0.0457,0.0061,0.0396,0.156956005,Cuticle missing,
T337,2,0.445,0.0564,0.0076,0.0488,0.109662921,Only one DI rinse before removing; cutcile missing,
T339,2,0.342,0.0587,0.0084,0.0503,0.147076023,Only one DI rinse before removing,
T348,2,0.571,0.08,0.0126,0.0674,0.118038529,Only one DI rinse before removing,
T349,3,0.4747,0.0779,0.0124,0.0655,0.137981883,,
T372,2,0.4699,0.0777,0.0115,0.0662,0.140881039,Only one DI rinse before removing,
T378,4,0.4377,0.0792,0.0115,0.0677,0.15467215,"Started to disarticulate before weighning, full mass may be too low",Maybe
T404,4,0.2738,0.0542,0.0074,0.0468,0.170927684,,
T412,2,0.3195,0.0538,0.0071,0.0467,0.146165884,Only one DI rinse before removing; cuticle missing,
T413,3,0.4731,0.0808,0.0137,0.0671,0.14183048,Burned; Pieces falling off in KOH,Yes
T422,3,0.322,0.0567,0.0079,0.0488,0.151552795,Cuticle missing,
T423,2,0.2736,0.0549,0.0074,0.0475,0.173611111,Only one DI rinse before removing,
T426,2,0.3981,0.0759,0.0087,0.0672,0.168801809,Only one DI rinse before removing,
T427,4,0.5301,0.0897,0.0141,0.0756,0.142614601,,
T428,3,0.5112,0.0759,0.0101,0.0658,0.128716745,Burned,
T429,2,0.6095,0.0799,0.0099,0.07,0.114848236,"Only one DI rinse before removing; burned, pieces falling off in KOPH",Yes
T430,3,0.3726,0.0699,0.0101,0.0598,0.160493827,Cuticle missing,
T431,2,0.3641,0.0669,0.0091,0.0578,0.158747597,Only one DI rinse before removing; cuticle missing,
T433,4,0.3073,0.0569,0.0074,0.0495,0.161080377,Cuticle missing,
T434,3,0.268,0.0552,0.0086,0.0466,0.173880597,,
T435,2,0.4167,0.0866,0.0122,0.0744,0.178545716,Only one DI rinse before removing; pieces falling off in KOH,Yes
T448,2,0.3263,0.0463,0.0054,0.0409,0.125344775,Only one DI rinse before removing; missing part of thorax?,Yes
T450,2,0.4691,0.0869,0.0138,0.0731,0.155830313,Only one DI rinse before removing; burned; pieces falling off in KOH,
T463,4,0.5152,0.066,0.0084,0.0576,0.111801242,Part of thorax missing?,Yes
T465,2,0.3671,0.0677,0.009,0.0587,0.159901934,Only one DI rinse before removing; cuticle missing,
T468,2,0.4265,0.0749,0.01,0.0649,0.152168816,Only one DI rinse before removing; cuticle missing,
T472,3,0.4435,0.0828,0.0139,0.0689,0.15535513,Burned; Pieces falling off in KOH,Yes
T476,3,0.2459,0.0584,0.0087,0.0497,0.202114681,Cuticle missing,
